eng	trans	rus 
fruit	[fruːt]	фрукт
apricot	[‘eɪprɪkɔt]	абрикос
pineapple	[‘paɪnæpl]	ананас
banana	[bə’nɑːnə]	банан
bergamot	[‘bɜːgəmɔt]	бергамот
grape	[greɪp]	виноград
grapefruit	[‘greɪpfruːt]	грейпфрут
pear	[peə]	груша
melon	[‘melən]	дыня
lemon	[‘lemən]	лимон
mandarin	[‘mænd(ə)rɪn]	мандарин
peach	[piːʧ]	персик
plum	[plʌm]	слива
apple	[‘æpl]	яблоко
lime	[laɪm]	лайм
kiwi	[‘kiːwiː]	киви
fig	[fɪg]	инжир
mango	[‘mæŋgəu]	манго
persimmon	[pə’sɪmən]	хурма
pomelo	[‘pɔmɪləu]	помело
