eng	trans	rus 
material	[məˈtɪ(ə)rɪəl]	материал
stone	[stəʊn]	камень
concrete	[ˈkɒŋkriːt]	бетон
brick	[brɪk]	кирпич
metal	[mɛtl]	металл
rubber	[ˈrʌbə]	резина
glass	[ɡlɑːs]	стекло
wood	[wʊd]	древесина
plastic	[ˈplæstɪk]	пластик
paper	[ˈpeɪpə]	бумага
carton	[ˈkɑːtɪn]	картон
gypsum	[ˈdʒɪp|s(ə)m]	гипс
clay	[kleɪ]	глина
leather	[ˈlɛðə]	кожа
cloth	[klɒθ]	ткань
wool	[wʊl]	шерсть
silk	[sɪlk]	шелк
