no	eng	trans	rus	category1	category2
469	dance	[dɑːns]	танец	Спорт и хобби	
470	cards	[kɑːdz]	карты	Спорт и хобби	
471	chess	[tʃes]	шахматы	Спорт и хобби	
472	cinema	[ˈsɪnəmə]	кино	Спорт и хобби	
473	circus	[ˈsɜːkəs]	цирк	Спорт и хобби	
474	collecting	[kəˈlektɪŋ]	коллекционирование	Спорт и хобби	
475	comics	[ˈkɒmɪks]	комиксы	Спорт и хобби	
476	computer games	[kəmˈpjuːtə ɡeɪmz]	компьютерные игры	Спорт и хобби	
477	crosswords	[ˈkrɒswɜːdz]	кроссворды	Спорт и хобби	
478	diving	[ˈdaɪvɪŋ]	дайвинг	Спорт и хобби	
479	drawing	[ˈdrɔːɪŋ]	рисование	Спорт и хобби	
480	fishing	[ˈfɪʃɪŋ]	рыбалка	Спорт и хобби	
481	fitness	[ˈfɪtnəs]	фитнес	Спорт и хобби	
482	football	[ˈfʊtbɔːl]	футбол	Спорт и хобби	
483	hockey	[ˈhɒki]	хоккей	Спорт и хобби	
484	hunt	[hʌnt]	охота	Спорт и хобби	
485	knitting	[ˈnɪtɪŋ]	вязание	Спорт и хобби	
486	model	[ˈmɒdl]	модель	Спорт и хобби	
487	music	[ˈmjuːzɪk]	музыка	Спорт и хобби	
488	photo	[ˈfəʊtəʊ]	фотография	Спорт и хобби	
489	poetry	[ˈpəʊətri]	поэзия	Спорт и хобби	
490	reading	[ˈriːdɪŋ]	чтение	Спорт и хобби	
491	running	[ˈrʌnɪŋ]	бег	Спорт и хобби	
492	sculpture	[ˈskʌlptʃə(r)]	скульптура	Спорт и хобби	
493	shopping	[ˈʃɒpɪŋ]	шопинг	Спорт и хобби	
494	singing	[ˈsɪŋɪŋ]	пение	Спорт и хобби	
495	skiing	[ˈskiːɪŋ]	катание на лыжах	Спорт и хобби	
496	swimming	[ˈswɪmɪŋ]	плавание	Спорт и хобби	
497	tennis	[ˈtenɪs]	теннис	Спорт и хобби	
498	theatre	[ˈθɪətə(r)]	театр	Спорт и хобби	
499	volleyball	[ˈvɒlibɔːl]	волейбол	Спорт и хобби	
500	yoga	[ˈjəʊɡə]	йога	Спорт и хобби	
501	to dance	[dɑːns]	танцевать	Спорт и хобби	глаголы
502	to do cycling	[duː ˈsaɪklɪŋ]	кататься на велосипеде	Спорт и хобби	глаголы
503	to do gardening	[duː ˈɡɑːdnɪŋ]	заниматься садоводством	Спорт и хобби	глаголы
504	to draw	[drɔː]	рисовать	Спорт и хобби	глаголы
505	to go mushrooming	[ɡəʊ ˈmʌʃrʊmɪŋ]	собирать грибы	Спорт и хобби	глаголы
506	to play the guitar	[pleɪ ðə ɡɪˈtɑː(r)]	играть на гитаре	Спорт и хобби	глаголы
507	to play the piano	[pleɪ ðə piˈænəʊ]	играть на пианино	Спорт и хобби	глаголы
508	to read	[riːd]	читать	Спорт и хобби	глаголы
509	to run	[rʌn]	бегать	Спорт и хобби	глаголы
510	to sing	[sɪŋ]	петь	Спорт и хобби	глаголы
511	to swim	[swɪm]	плавать	Спорт и хобби	глаголы
512	agency	[ˈeɪdʒənsi]	агентство	Путешествия и отдых	
513	airlines	[ˈeəlaɪnz]	авиалинии	Путешествия и отдых	
514	airport	[ˈeəpɔːt]	аэропорт	Путешествия и отдых	
515	attractions	[əˈtrækʃnz]	достопримечательности	Путешествия и отдых	
516	backpack	[ˈbækpæk]	рюкзак	Путешествия и отдых	
517	bag	[bæɡ]	сумка	Путешествия и отдых	
518	baggage	[ˈbæɡɪdʒ]	багаж	Путешествия и отдых	
519	beach	[biːtʃ]	пляж	Путешествия и отдых	
520	bicycle	[ˈbaɪsɪkl]	велосипед	Путешествия и отдых	
521	bonfire	[ˈbɒnfaɪə(r)]	костер	Путешествия и отдых	
522	border	[ˈbɔːdə(r)]	граница	Путешествия и отдых	
523	bronzed	[brɒnzd]	загорелый	Путешествия и отдых	
524	bus	[bʌs]	автобус	Путешествия и отдых	
525	camp	[kæmp]	лагерь	Путешествия и отдых	
526	capital	[ˈkæpɪtl]	столица	Путешествия и отдых	
527	car	[kɑː(r)]	машина	Путешествия и отдых	
528	city	[ˈsɪti]	город	Путешествия и отдых	
529	country	[ˈkʌntri]	страна	Путешествия и отдых	
530	cruise	[kruːz]	круиз	Путешествия и отдых	
531	currency	[ˈkʌrənsi]	валюта	Путешествия и отдых	
532	direction	[dəˈrekʃn]	направление	Путешествия и отдых	
533	east	[iːst]	восток	Путешествия и отдых	
534	exotic	[ɪɡˈzɒtɪk]	экзотический	Путешествия и отдых	
535	foreign	[ˈfɒrən]	иностранный	Путешествия и отдых	
536	foreigner	[ˈfɒrənə(r)]	иностранец	Путешествия и отдых	
537	hike	[haɪk]	поход	Путешествия и отдых	
538	hotel	[həʊˈtel]	отель, гостиница	Путешествия и отдых	
539	journey	[ˈdʒɜːni]	путешествие	Путешествия и отдых	
540	local	[ˈləʊkl]	местный	Путешествия и отдых	
541	map	[mæp]	карта	Путешествия и отдых	
542	motorcycle	[ˈməʊtəsaɪkl]	мотоцикл	Путешествия и отдых	
543	mountain	[ˈmaʊntən]	гора	Путешествия и отдых	
544	north	[nɔːθ]	север	Путешествия и отдых	
545	passport	[ˈpɑːspɔːt]	паспорт	Путешествия и отдых	
546	plane	[pleɪn]	самолет	Путешествия и отдых	
547	postcard	[ˈpəʊstkɑːd]	открытка	Путешествия и отдых	
548	railway	[ˈreɪlweɪ]	железная дорога	Путешествия и отдых	
549	rest	[rest]	отдых	Путешествия и отдых	
550	room	[ruːm]	номер, комната	Путешествия и отдых	
551	route	[ruːt]	маршрут	Путешествия и отдых	
552	ship	[ʃɪp]	корабль	Путешествия и отдых	
553	south	[saʊθ]	юг	Путешествия и отдых	
554	souvenir	[ˌsuːvəˈnɪə(r)]	сувенир	Путешествия и отдых	
555	suitcase	[ˈsuːtkeɪs]	чемодан	Путешествия и отдых	
556	taxi	[ˈtæksi]	такси	Путешествия и отдых	
557	tent	[tent]	палатка	Путешествия и отдых	
558	ticket	[ˈtɪkɪt]	билет	Путешествия и отдых	
559	tourism	[ˈtʊərɪzəm]	туризм	Путешествия и отдых	
560	train	[treɪn]	поезд	Путешествия и отдых	
561	trip	[trɪp]	поездка	Путешествия и отдых	
562	vacation	[vəˈkeɪʃn]	отпуск, каникулы	Путешествия и отдых	
563	visa	[ˈviːzə]	виза	Путешествия и отдых	
564	west	[west]	запад	Путешествия и отдых	
565	to arrive	[əˈraɪv]	прибыть	Путешествия и отдых	глаголы
566	to book	[bʊk]	забронировать	Путешествия и отдых	глаголы
567	to buy	[baɪ]	купить	Путешествия и отдых	глаголы
568	to change to	[tʃeɪndʒ tu:]	пересаживаться на	Путешествия и отдых	глаголы
569	to get a suntan	[ɡet ə ˈsʌntæn]	загорать	Путешествия и отдых	глаголы
570	to go abroad	[ɡəʊ əˈbrɔːd]	отправляться за границу	Путешествия и отдых	глаголы
571	to land	[lænd]	приземляться	Путешествия и отдых	глаголы
572	to rest	[rest]	отдыхать	Путешествия и отдых	глаголы
573	black	[blæk]	черный	Цвета	
574	blue	[bluː]	синий	Цвета	
575	brown	[braʊn]	коричневый	Цвета	
576	colour	[ˈkʌlə(r)]	цвет	Цвета	
577	dark blue	[dɑːk bluː]	темно-синий	Цвета	
578	gold	[ɡəʊld]	золотистый	Цвета	
579	green	[ɡriːn]	зеленый	Цвета	
580	grey	[ɡreɪ]	серый	Цвета	
581	light blue	[laɪt bluː]	голубой	Цвета	
582	orange	[ˈɒrɪndʒ]	оранжевый	Цвета	
583	pink	[pɪŋk]	розовый	Цвета	
584	red	[red]	красный	Цвета	
585	shade	[ʃeɪd]	оттенок	Цвета	
586	silver	[ˈsɪlvə(r)]	серебристый	Цвета	
587	violet	[ˈvaɪələt]	фиолетовый	Цвета	
588	white	[waɪt]	белый	Цвета	
589	yellow	[ˈjeləʊ]	желтый	Цвета	
590	to paint	[peɪnt]	красить	Цвета	глаголы
591	bad	[bæd]	плохой	Свойства предметов	
592	big	[bɪɡ]	большой	Свойства предметов	
593	circle	[ˈsɜːkl]	круг	Свойства предметов	
594	cool	[kuːl]	прохладный	Свойства предметов	
595	far	[fɑː(r)]	далекий	Свойства предметов	
596	fast	[fɑːst]	быстрый	Свойства предметов	
597	fluffy	[ˈflʌfi]	пушистый	Свойства предметов	
598	good	[ɡʊd]	хороший	Свойства предметов	
599	hard	[hɑːd]	жесткий, твердый	Свойства предметов	
600	heavy	[ˈhevi]	тяжелый	Свойства предметов	
601	high	[haɪ]	высокий	Свойства предметов	
602	hot	[hɒt]	горячий	Свойства предметов	
603	large	[lɑːdʒ]	крупный	Свойства предметов	
604	length	[leŋkθ]	длина	Свойства предметов	
605	light	[laɪt]	легкий	Свойства предметов	
606	line	[laɪn]	линия	Свойства предметов	
607	long	[lɒŋ]	длинный	Свойства предметов	
608	loud	[laʊd]	громкий	Свойства предметов	
609	low	[ləʊ]	низкий	Свойства предметов	
610	new	[njuː]	новый	Свойства предметов	
611	old	[əʊld]	старый	Свойства предметов	
612	quick	[kwɪk]	быстрый	Свойства предметов	
613	round	[raʊnd]	круглый	Свойства предметов	
614	shape	[ʃeɪp]	форма	Свойства предметов	
615	sharp	[ʃɑːp]	острый	Свойства предметов	
616	short	[ʃɔːt]	короткий	Свойства предметов	
617	size	[saɪz]	размер	Свойства предметов	
618	slow	[sləʊ]	медленный	Свойства предметов	
619	small	[smɔːl]	маленький	Свойства предметов	
620	smooth	[smuːð]	гладкий	Свойства предметов	
621	soft	[sɒft]	мягкий	Свойства предметов	
622	speed	[spiːd]	скорость	Свойства предметов	
623	square	[skweə(r)]	квадрат, квадратный	Свойства предметов	
624	warm	[wɔːm]	теплый	Свойства предметов	
625	weight	[weɪt]	вес	Свойства предметов	
626	afternoon	[ˌɑːftəˈnuːn]	день, время после полудня	Время и числа	
627	century	[ˈsentʃəri]	век	Время и числа	
628	date	[deɪt]	дата	Время и числа	
629	day	[deɪ]	день	Время и числа	
630	decade	[ˈdekeɪd]	десятилетие	Время и числа	
631	evening	[ˈiːvnɪŋ]	вечер	Время и числа	
632	hour	[ˈaʊə(r)]	час	Время и числа	
633	midnight	[ˈmɪdnaɪt]	полночь	Время и числа	
634	minute	[ˈmɪnɪt]	минута	Время и числа	
635	month	[mʌnθ]	месяц	Время и числа	
636	morning	[ˈmɔːnɪŋ]	утро	Время и числа	
637	night	[naɪt]	ночь	Время и числа	
638	second	[ˈsekənd]	секунда	Время и числа	
639	time	[taɪm]	время	Время и числа	
640	week	[wiːk]	неделя	Время и числа	
641	weekdays	[ˈwiːkdeɪz]	будни	Время и числа	
642	weekend	[ˌwiːkˈend]	выходные	Время и числа	
643	year	[jɪə(r)]	год	Время и числа	
644	Monday	[ˈmʌndeɪ]	понедельник	Время и числа	Дни недели
645	Tuesday	[ˈtjuːzdeɪ]	вторник	Время и числа	Дни недели
646	Wednesday	[ˈwenzdeɪ]	среда	Время и числа	Дни недели
647	Thursday	[ˈθɜːzdeɪ]	четверг	Время и числа	Дни недели
648	Friday	[ˈfraɪdeɪ]	пятница	Время и числа	Дни недели
649	Saturday	[ˈsætədeɪ]	суббота	Время и числа	Дни недели
650	Sunday	[ˈsʌndeɪ]	воскресенье	Время и числа	Дни недели
651	winter	[ˈwɪntə(r)]	зима	Время и числа	Времена года
652	spring	[sprɪŋ]	весна	Время и числа	Времена года
653	summer	[ˈsʌmə(r)]	лето	Время и числа	Времена года
654	autumn	[ˈɔːtəm]	осень	Время и числа	Времена года
655	January	[ˈdʒænjuəri]	январь	Время и числа	Месяцы
656	February	[ˈfebruəri]	февраль	Время и числа	Месяцы
657	March	[mɑːtʃ]	март	Время и числа	Месяцы
658	April	[ˈeɪprəl]	апрель	Время и числа	Месяцы
659	May	[meɪ]	май	Время и числа	Месяцы
660	June	[dʒuːn]	июнь	Время и числа	Месяцы
661	July	[dʒuˈlaɪ]	июль	Время и числа	Месяцы
662	August	[ˈɔːɡəst]	август	Время и числа	Месяцы
663	September	[sepˈtembə(r)]	сентябрь	Время и числа	Месяцы
664	October	[ɒkˈtəʊbə(r)]	октябрь	Время и числа	Месяцы
665	November	[nəʊˈvembə(r)]	ноябрь	Время и числа	Месяцы
666	December	[dɪˈsembə(r)]	декабрь	Время и числа	Месяцы
667	one	[wʌn]	один	Количественные числительные	
668	two	[tuː]	два	Количественные числительные	
669	three	[θriː]	три	Количественные числительные	
670	four	[fɔː(r)]	четыре	Количественные числительные	
671	five	[faɪv]	пять	Количественные числительные	
672	six	[sɪks]	шесть	Количественные числительные	
673	seven	[sevn]	семь	Количественные числительные	
674	eight	[eɪt]	восемь	Количественные числительные	
675	nine	[naɪn]	девять	Количественные числительные	
676	ten	[ten]	десять	Количественные числительные	
677	eleven	[ɪˈlevn]	одиннадцать	Количественные числительные	
678	twelve	[twelv]	двенадцать	Количественные числительные	
679	thirteen	[ˌθɜːˈtiːn]	тринадцать	Количественные числительные	От 13 до 19
680	fourteen	[ˌfɔːˈtiːn]	четырнадцать	Количественные числительные	От 13 до 19
681	fifteen	[ˌfɪfˈtiːn]	пятнадцать	Количественные числительные	От 13 до 19
682	sixteen	[ˌsɪksˈtiːn]	шестнадцать	Количественные числительные	От 13 до 19
683	seventeen	[ˌsevnˈtiːn]	семнадцать	Количественные числительные	От 13 до 19
684	eighteen	[ˌeɪˈtiːn]	восемнадцать	Количественные числительные	От 13 до 19
685	nineteen	[ˌnaɪnˈtiːn]	девятнадцать	Количественные числительные	От 13 до 19
686	twenty	[ˈtwenti]	двадцать	Количественные числительные	От 20 до 29
687	twenty-one	[ˌtwenti ˈwʌn]	двадцать один	Количественные числительные	От 20 до 29
688	twenty-two	[ˌtwenti ˈtuː]	двадцать два	Количественные числительные	От 20 до 29
689	twenty-three	[ˌtwenti ˈθriː]	двадцать три	Количественные числительные	От 20 до 29
690	twenty-four	[ˌtwenti ˈfɔː(r)]	двадцать четыре	Количественные числительные	От 20 до 29
691	twenty-five	[ˌtwenti ˈfaɪv]	двадцать пять	Количественные числительные	От 20 до 29
692	twenty-six	[ˌtwenti ˈsɪks]	двадцать шесть	Количественные числительные	От 20 до 29
693	twenty-seven	[ˌtwenti ˈsevn]	двадцать семь	Количественные числительные	От 20 до 29
694	twenty-eight	[ˌtwenti ˈeɪt]	двадцать восемь	Количественные числительные	От 20 до 29
695	twenty-nine	[ˌtwenti ˈnaɪn]	двадцать девять	Количественные числительные	От 20 до 29
696	thirty	[ˈθɜːti]	тридцать	Количественные числительные	Десятки, сотни, тысячи, миллионы
697	forty	[ˈfɔːti]	сорок	Количественные числительные	Десятки, сотни, тысячи, миллионы
698	fifty	[ˈfɪfti]	пятьдесят	Количественные числительные	Десятки, сотни, тысячи, миллионы
699	sixty	[ˈsɪksti]	шестьдесят	Количественные числительные	Десятки, сотни, тысячи, миллионы
700	seventy	[ˈsevnti]	семьдесят	Количественные числительные	Десятки, сотни, тысячи, миллионы
701	eighty	[ˈeɪti]	восемьдесят	Количественные числительные	Десятки, сотни, тысячи, миллионы
702	ninety	[ˈnaɪnti]	девяносто	Количественные числительные	Десятки, сотни, тысячи, миллионы
703	hundred	[ˈhʌndrəd]	сто	Количественные числительные	Десятки, сотни, тысячи, миллионы
704	thousand	[ˈθaʊznd]	тысяча	Количественные числительные	Десятки, сотни, тысячи, миллионы
705	million	[ˈmɪljən]	миллион	Количественные числительные	Десятки, сотни, тысячи, миллионы
706	billion	[ˈbɪljən]	миллиард	Количественные числительные	Десятки, сотни, тысячи, миллионы
707	first	[fɜːst]	первый	Порядковые числительные	
708	second	[ˈsekənd]	второй	Порядковые числительные	
709	third	[θɜːd]	третий	Порядковые числительные	
710	fourth	[fɔːθ]	четвертый	Порядковые числительные	
711	fifth	[fɪfθ]	пятый	Порядковые числительные	
712	sixth	[sɪksθ]	шестой	Порядковые числительные	
713	seventh	[ˈsevnθ]	седьмой	Порядковые числительные	
714	eighth	[eɪtθ]	восьмой	Порядковые числительные	
715	ninth	[naɪnθ]	девятый	Порядковые числительные	
716	tenth	[tenθ]	десятый	Порядковые числительные	
717	eleventh	[ɪˈlevnθ]	одиннадцатый	Порядковые числительные	
718	twelfth	[twelfθ]	двенадцатый	Порядковые числительные	
719	thirteenth	[ˌθɜːˈtiːnθ]	тринадцатый	Порядковые числительные	От 13 до 19
720	fourteenth	[ˌfɔːˈtiːnθ]	четырнадцатый	Порядковые числительные	От 13 до 19
721	fifteenth	[ˌfɪfˈtiːnθ]	пятнадцатый	Порядковые числительные	От 13 до 19
722	sixteenth	[ˌsɪksˈtiːnθ]	шестнадцатый	Порядковые числительные	От 13 до 19
723	seventeenth	[ˌsevnˈtiːnθ]	семнадцатый	Порядковые числительные	От 13 до 19
724	eighteenth	[ˌeɪˈtiːnθ]	восемнадцатый	Порядковые числительные	От 13 до 19
725	nineteenth	[ˌnaɪnˈtiːnθ]	девятнадцатый	Порядковые числительные	От 13 до 19
726	twentieth	[ˈtwentɪəθ]	двадцатый	Порядковые числительные	От 20 до 29
727	twenty-first	[ˌtwenti ˈfɜːst]	двадцать первый	Порядковые числительные	От 20 до 29
728	twenty-second	[ˌtwenti ˈsekənd]	двадцать второй	Порядковые числительные	От 20 до 29
729	twenty-third	[ˌtwenti ˈθɜːd]	двадцать третий	Порядковые числительные	От 20 до 29
730	twenty-fourth	[ˌtwenti ˈfɔːθ]	двадцать четвертый	Порядковые числительные	От 20 до 29
731	twenty-fifth	[ˌtwenti ˈfɪfθ]	двадцать пятый	Порядковые числительные	От 20 до 29
732	twenty-sixth	[ˌtwenti ˈsɪksθ]	двадцать шестой	Порядковые числительные	От 20 до 29
733	twenty-seventh	[ˌtwenti ˈsevnθ]	двадцать седьмой	Порядковые числительные	От 20 до 29
734	twenty-eighth	[ˌtwenti ˈeɪtθ]	двадцать восьмой	Порядковые числительные	От 20 до 29
735	twenty-ninth	[ˌtwenti ˈnaɪnθ]	двадцать девятый	Порядковые числительные	От 20 до 29
736	thirtieth	[ˈθɜːtiəθ]	тридцатый	Порядковые числительные	Десятки, сотни, тысячи, миллионы
737	fortieth	[ˈfɔːtiəθ]	сороковой	Порядковые числительные	Десятки, сотни, тысячи, миллионы
738	fiftieth	[ˈfɪftiəθ]	пятидесятый	Порядковые числительные	Десятки, сотни, тысячи, миллионы
739	sixtieth	[ˈsɪkstiəθ]	шестидесятый	Порядковые числительные	Десятки, сотни, тысячи, миллионы
740	seventieth	[ˈsevntiəθ]	семидесятый	Порядковые числительные	Десятки, сотни, тысячи, миллионы
741	eightieth	[ˈeɪtiəθ]	восьмидесятый	Порядковые числительные	Десятки, сотни, тысячи, миллионы
742	ninetieth	[ˈnaɪntiəθ]	девяностый	Порядковые числительные	Десятки, сотни, тысячи, миллионы
743	hundredth	[ˈhʌndrədθ]	сотый	Порядковые числительные	Десятки, сотни, тысячи, миллионы
744	thousandth	[ˈθaʊznθ]	тысячный	Порядковые числительные	Десятки, сотни, тысячи, миллионы
745	millionth	[ˈmɪljənθ]	миллионный	Порядковые числительные	Десятки, сотни, тысячи, миллионы
746	billionth	[ˈbɪljənθ]	миллиардный	Порядковые числительные	Десятки, сотни, тысячи, миллионы
747	air	[eə(r)]	воздух	Погода	
748	blizzard	[ˈblɪzəd]	метель	Погода	
749	chilly	[ˈtʃɪli]	прохладный	Погода	
750	clear	[klɪə(r)]	чистый	Погода	
751	cloud	[klaʊd]	облако	Погода	
752	cloudy	[ˈklaʊdi]	облачный	Погода	
753	cold	[kəʊld]	холод, холодный	Погода	
754	fog	[fɒɡ]	туман	Погода	
755	foggy	[ˈfɒɡi]	туманный	Погода	
756	frosty	[ˈfrɒsti]	морозный	Погода	
757	hot	[hɒt]	жаркий	Погода	
758	ice	[aɪs]	лед	Погода	
759	icy	[ˈaɪsi]	ледяной	Погода	
760	lightning	[ˈlaɪtnɪŋ]	молния	Погода	
761	moon	[muːn]	луна	Погода	
762	mud	[mʌd]	грязь	Погода	
763	puddle	[ˈpʌdl]	лужа	Погода	
764	rain	[reɪn]	дождь	Погода	
765	rainbow	[ˈreɪnbəʊ]	радуга	Погода	
766	rainy	[ˈreɪni]	дождливый	Погода	
767	sky	[skaɪ]	небо	Погода	
768	snow	[snəʊ]	снег	Погода	
769	snowfall	[ˈsnəʊfɔːl]	снегопад	Погода	
770	snowflake	[ˈsnəʊfleɪk]	снежинка	Погода	
771	snowy	[ˈsnəʊi]	снежный	Погода	
772	star	[stɑː(r)]	звезда	Погода	
773	starry	[ˈstɑːri]	звездный	Погода	
774	sun	[sʌn]	солнце	Погода	
775	sunlight	[ˈsʌnlaɪt]	солнечный свет	Погода	
776	sunny	[ˈsʌni]	солнечный	Погода	
777	sunrise	[ˈsʌnraɪz]	рассвет	Погода	
778	sunset	[ˈsʌnset]	закат	Погода	
779	thunder	[ˈθʌndə(r)]	гром	Погода	
780	thunderstorm	[ˈθʌndəstɔːm]	гроза	Погода	
781	weather	[ˈweðə(r)]	погода	Погода	
782	wind	[wɪnd]	ветер	Погода	
783	windy	[ˈwɪndi]	ветреный	Погода	
784	to beat	[biːt]	стучать	Погода	глаголы
785	to blow	[bləʊ]	дуть	Погода	глаголы
786	to cover up	[ˈkʌvə ˌʌp]	покрывать	Погода	глаголы
787	to darken	[ˈdɑːkən]	темнеть	Погода	глаголы
788	to drip	[drɪp]	капать	Погода	глаголы
789	to fall	[fɔːl]	падать	Погода	глаголы
790	to lighten	[ˈlaɪtn]	светлеть	Погода	глаголы
791	to melt	[melt]	таять	Погода	глаголы
792	cave	[keɪv]	пещера	Пейзаж	
793	cliff	[klɪf]	скала	Пейзаж	
794	desert	[ˈdezət]	пустыня	Пейзаж	
795	dust	[dʌst]	пыль	Пейзаж	
796	field	[fiːld]	поле	Пейзаж	
797	forest	[ˈfɒrɪst]	лес	Пейзаж	
798	ground	[ɡraʊnd]	земля	Пейзаж	
799	hill	[hɪl]	холм	Пейзаж	
800	island	[ˈaɪlənd]	остров	Пейзаж	
801	jungle	[ˈdʒʌŋɡl]	джунгли	Пейзаж	
802	lake	[leɪk]	озеро	Пейзаж	
803	mountain	[ˈmaʊntən]	гора	Пейзаж	
804	nature	[ˈneɪtʃə(r)]	природа	Пейзаж	
805	ocean	[ˈəʊʃn]	океан	Пейзаж	
806	pond	[pɒnd]	пруд	Пейзаж	
807	river	[ˈrɪvə(r)]	река	Пейзаж	
808	sand	[sænd]	песок	Пейзаж	
809	sea	[siː]	море	Пейзаж	
810	stone	[stəʊn]	камень	Пейзаж	
811	stream	[striːm]	ручей	Пейзаж	
812	swamp	[swɒmp]	болото	Пейзаж	
813	wave	[weɪv]	волна	Пейзаж	
814	animal	[ˈænɪml]	животное	Животные	
815	beak	[biːk]	клюв	Животные	
816	claw	[klɔː]	коготь	Животные	
817	feather	[ˈfeðə(r)]	перо	Животные	
818	fur	[fɜː(r)]	шерсть	Животные	
819	bull	[bʊl]	бык	Животные	Домашние животные
820	cat	[kæt]	кошка	Животные	Домашние животные
821	chicken	[ˈtʃɪkɪn]	курица	Животные	Домашние животные
822	cow	[kaʊ]	корова	Животные	Домашние животные
823	dog	[dɒɡ]	собака	Животные	Домашние животные
824	donkey	[ˈdɒŋki]	осел	Животные	Домашние животные
825	goat	[ɡəʊt]	коза	Животные	Домашние животные
826	goose	[ɡuːs]	гусь	Животные	Домашние животные
827	guinea pig	[ˈɡɪni pɪɡ]	морская свинка	Животные	Домашние животные
828	hamster	[ˈhæmstə(r)]	хомяк	Животные	Домашние животные
829	horse	[hɔːs]	лошадь	Животные	Домашние животные
830	kitten	[ˈkɪtn]	котенок	Животные	Домашние животные
831	mouse	[maʊs]	мышь	Животные	Домашние животные
832	parrot	[ˈpærət]	попугай	Животные	Домашние животные
833	pet	[pet]	питомец	Животные	Домашние животные
834	pig	[pɪɡ]	свинья	Животные	Домашние животные
835	puppy	[ˈpʌpi]	щенок	Животные	Домашние животные
836	rabbit	[ˈræbɪt]	кролик	Животные	Домашние животные
837	rat	[ræt]	крыса	Животные	Домашние животные
838	sheep	[ʃiːp]	овца	Животные	Домашние животные
839	bear	[beə(r)]	медведь	Животные	Дикие животные
840	camel	[ˈkæml]	верблюд	Животные	Дикие животные
841	crocodile	[ˈkrɒkədaɪl]	крокодил	Животные	Дикие животные
842	deer	[dɪə(r)]	олень	Животные	Дикие животные
843	elephant	[ˈelɪfənt]	слон	Животные	Дикие животные
844	fox	[fɒks]	лиса	Животные	Дикие животные
845	giraffe	[dʒəˈrɑːf]	жираф	Животные	Дикие животные
846	hippo	[ˈhɪpəʊ]	бегемот	Животные	Дикие животные
847	kangaroo	[ˌkæŋɡəˈruː]	кенгуру	Животные	Дикие животные
848	lion	[ˈlaɪən]	лев	Животные	Дикие животные
849	monkey	[ˈmʌŋki]	обезьяна	Животные	Дикие животные
850	panda	[ˈpændə]	панда	Животные	Дикие животные
851	rhino	[ˈraɪnəʊ]	носорог	Животные	Дикие животные
852	snake	[sneɪk]	змея	Животные	Дикие животные
853	tiger	[ˈtaɪɡə(r)]	тигр	Животные	Дикие животные
854	wild	[waɪld]	дикий	Животные	Дикие животные
855	wolf	[wʊlf]	волк	Животные	Дикие животные
856	bee	[biː]	пчела	Животные	Насекомые
857	bug	[bʌɡ]	жук	Животные	Насекомые
858	butterfly	[ˈbʌtəflaɪ]	бабочка	Животные	Насекомые
859	fly	[flaɪ]	муха	Животные	Насекомые
860	insect	[ˈɪnsekt]	насекомое	Животные	Насекомые
861	spider	[ˈspaɪdə(r)]	паук	Животные	Насекомые
862	bird	[bɜːd]	птица	Животные	Птицы
863	duck	[dʌk]	утка	Животные	Птицы
864	eagle	[ˈiːɡl]	орел	Животные	Птицы
865	owl	[aʊl]	сова	Животные	Птицы
866	penguin	[ˈpeŋɡwɪn]	пингвин	Животные	Птицы
867	pigeon	[ˈpɪdʒɪn]	голубь	Животные	Птицы
868	raven	[ˈreɪvn]	ворон	Животные	Птицы
869	sparrow	[ˈspærəʊ]	воробей	Животные	Птицы
870	swan	[swɒn]	лебедь	Животные	Птицы
871	to bark	[bɑːk]	лаять	Животные	глаголы
872	to bite	[baɪt]	кусать	Животные	глаголы
873	to catch	[kætʃ]	ловить	Животные	глаголы
874	to feed	[fiːd]	кормить	Животные	глаголы
875	to fly	[flaɪ]	летать	Животные	глаголы
876	to hiss	[hɪs]	шипеть	Животные	глаголы
877	to pet	[pet]	гладить	Животные	глаголы
878	to purr	[pɜː(r)]	мурлыкать	Животные	глаголы
879	to scream	[skriːm]	кричать	Животные	глаголы
880	bush	[bʊʃ]	куст	Растения	
881	cactus	[ˈkæktəs]	кактус	Растения	
882	flower	[ˈflaʊə(r)]	цветок	Растения	
883	grass	[ɡrɑːs]	трава	Растения	
884	leaf	[liːf]	лист	Растения	
885	lily	[ˈlɪli]	лилия	Растения	
886	oak	[əʊk]	дуб	Растения	
887	pine	[paɪn]	сосна	Растения	
888	root	[ruːt]	корень	Растения	
889	rose	[rəʊz]	роза	Растения	
890	tree	[triː]	дерево	Растения	
891	to bloom	[bluːm]	цвести	Растения	глаголы
892	to fruit	[fruːt]	плодоносить	Растения	глаголы
893	to grow	[ɡrəʊ]	расти	Растения	глаголы
894	to plant	[plɑːnt]	сажать	Растения	глаголы
895	to water	[ˈwɔːtə(r)]	поливать	Растения	глаголы
896	Christmas	[ˈkrɪsməs]	Рождество	События	Праздники
897	coloured lights	[ˈkʌləd ˌlaɪts]	цветные фонарики (гирлянды)	События	Праздники
898	decorations	[ˌdekəˈreɪʃnz]	украшения	События	Праздники
899	guest	[ɡest]	гость	События	Праздники
900	holiday	[ˈhɒlədeɪ]	праздник	События	Праздники
901	New Year	[ˌnjuː ˈjɪə(r)]	Новый год	События	Праздники
902	New Year’s tree	[ˌnjuː jɪəz ˈtriː]	новогодняя елка	События	Праздники
903	present	[ˈpreznt]	подарок	События	Праздники
