no	eng	trans	rus	category1	category2
127	tall	[tɔːl]	высокий	Внешность	
128	thin	[θɪn]	худой	Внешность	
129	ugly	[ˈʌɡli]	уродливый	Внешность	
130	wavy	[ˈweɪvi]	волнистый	Внешность	
131	weight	[weɪt]	вес	Внешность	
132	active	[ˈæktɪv]	активный	Характер и эмоции	
133	angry	[ˈæŋɡri]	злой	Характер и эмоции	
134	blue	[bluː]	грустный	Характер и эмоции	
135	boring	[ˈbɔːrɪŋ]	скучный	Характер и эмоции	
136	brave	[breɪv]	храбрый	Характер и эмоции	
137	calm	[kɑːm]	спокойный	Характер и эмоции	
138	careful	[ˈkeəfl]	осторожный	Характер и эмоции	
139	character	[ˈkærəktə(r)]	характер	Характер и эмоции	
140	cheerful	[ˈtʃɪəfl]	радостный	Характер и эмоции	
141	clever	[ˈklevə(r)]	умный	Характер и эмоции	
142	confused	[kənˈfjuːzd]	сбитый с толку	Характер и эмоции	
143	creative	[kriˈeɪtɪv]	креативный, творческий	Характер и эмоции	
144	cruel	[ˈkruːəl]	жестокий	Характер и эмоции	
145	curious	[ˈkjʊəriəs]	любопытный	Характер и эмоции	
146	easy-going	[ˌiːzi ˈɡəʊɪŋ]	легкий на подъем	Характер и эмоции	
147	emotional	[ɪˈməʊʃənl]	эмоциональный	Характер и эмоции	
148	excited	[ɪkˈsaɪtɪd]	взволнованный	Характер и эмоции	
149	fair	[feə(r)]	честный	Характер и эмоции	
150	friendly	[ˈfrendli]	дружелюбный	Характер и эмоции	
151	generous	[ˈdʒenərəs]	щедрый	Характер и эмоции	
152	genius	[ˈdʒiːnɪəs]	гениальный	Характер и эмоции	
153	gentle	[ˈdʒentl]	мягкий	Характер и эмоции	
154	glad	[ɡlæd]	довольный	Характер и эмоции	
155	greedy	[ˈɡriːdi]	жадный	Характер и эмоции	
156	happy	[ˈhæpi]	счастливый	Характер и эмоции	
157	hard-working	[ˌhɑːd ˈwɜːkɪŋ]	трудолюбивый	Характер и эмоции	
158	honest	[ˈɒnɪst]	честный	Характер и эмоции	
159	intelligent	[ɪnˈtelɪdʒənt]	умный	Характер и эмоции	
160	jealous	[ˈdʒeləs]	ревнивый, завистливый	Характер и эмоции	
161	kind	[kaɪnd]	добрый	Характер и эмоции	
162	lazy	[ˈleɪzi]	ленивый	Характер и эмоции	
163	loyal	[ˈlɔɪəl]	верный	Характер и эмоции	
164	lucky	[ˈlʌki]	удачливый	Характер и эмоции	
165	moody	[ˈmuːdi]	хмурый	Характер и эмоции	
166	nervous	[ˈnɜːvəs]	нервный	Характер и эмоции	
167	open	[ˈəʊpən]	открытый	Характер и эмоции	
168	optimistic	[ˌɒptɪˈmɪstɪk]	оптимистичный	Характер и эмоции	
169	patient	[ˈpeɪʃənt]	терпеливый	Характер и эмоции	
170	proud	[praʊd]	гордый	Характер и эмоции	
171	quiet	[ˈkwaɪət]	тихий	Характер и эмоции	
172	reliable	[rɪˈlaɪəbl]	надежный	Характер и эмоции	
173	romantic	[rəʊˈmæntɪk]	романтичный	Характер и эмоции	
174	rude	[ruːd]	грубый	Характер и эмоции	
175	sad	[sæd]	грустный	Характер и эмоции	
176	shy	[ʃaɪ]	стеснительный	Характер и эмоции	
177	sensitive	[ˈsensətɪv]	чувствительный	Характер и эмоции	
178	serious	[ˈsɪərɪəs]	серьезный	Характер и эмоции	
179	stupid	[ˈstjuːpɪd]	глупый	Характер и эмоции	
180	talented	[ˈtæləntɪd]	талантливый	Характер и эмоции	
181	tough	[tʌf]	жесткий	Характер и эмоции	
182	upset	[ˌʌpˈset]	расстроенный	Характер и эмоции	
183	wise	[waɪz]	мудрый	Характер и эмоции	
184	witty	[ˈwɪti]	остроумный	Характер и эмоции	
185	to act	[ækt]	вести себя	Характер и эмоции	глаголы
186	to behave	[bɪˈheɪv]	вести себя	Характер и эмоции	глаголы
187	to tell	[tel]	рассказывать	Характер и эмоции	глаголы
188	to try	[traɪ]	стараться	Характер и эмоции	глаголы
189	adoption	[əˈdɒpʃn]	усыновление	Семья и окружение 	
190	aunt	[ɑːnt]	тетя	Семья и окружение 	
191	boyfriend	[ˈbɔɪfrend]	парень (друг)	Семья и окружение 	
192	bride	[braɪd]	невеста	Семья и окружение 	
193	brother	[ˈbrʌðə(r)]	брат	Семья и окружение 	
194	brother-in-law	[ˈbrʌðər ɪn lɔː]	шурин, деверь	Семья и окружение 	
195	cousin	[ˈkʌzn]	двоюродный брат или сестра	Семья и окружение 	
196	daughter	[ˈdɔːtə(r)]	дочь	Семья и окружение 	
197	daughter-in-law	[ˈdɔːtər ɪn lɔː]	сноха, невестка	Семья и окружение 	
198	divorce	[dɪˈvɔːs]	развод	Семья и окружение 	
199	engagement	[ɪnˈɡeɪdʒmənt]	помолвка	Семья и окружение 	
200	ex-husband	[ˌeks ˈhʌzbənd]	бывший муж	Семья и окружение 	
201	ex-wife	[ˌeks ˈwaɪf]	бывшая жена	Семья и окружение 	
202	family	[ˈfæməli]	семья	Семья и окружение 	
203	father	[ˈfɑːðə(r)]	отец	Семья и окружение 	
204	foster family	[ˈfɒstə ˈfæməli]	приемная семья	Семья и окружение 	
205	friend	[frend]	друг	Семья и окружение 	
206	girlfriend	[ˈɡɜːlfrend]	девушка (подруга)	Семья и окружение 	
207	godfather	[ˈɡɒdfɑːðə(r)]	крестный отец	Семья и окружение 	
208	godmother	[ˈɡɒdmʌðə(r)	крестная мать	Семья и окружение 	
209	grandchildren	[ˈɡræntʃɪldrən]	внуки	Семья и окружение 	
210	granddaughter	[ˈɡrændɔːtə(r)]	внучка	Семья и окружение 	
211	grandfather	[ˈɡrænfɑːðə(r)]	дедушка	Семья и окружение 	
212	grandmother	[ˈɡrænmʌðə(r)]	бабушка	Семья и окружение 	
213	grandparents	[ˈɡrænpeərənts]	бабушка и дедушка	Семья и окружение 	
214	grandson	[ˈɡrænsʌn]	внук	Семья и окружение 	
215	half-brother	ˈhɑːf brʌðə(r)]	брат со стороны отца или матери	Семья и окружение 	
216	half-sister	[ˈhɑːf sɪstə(r)]	сестра со стороны отца или матери	Семья и окружение 	
217	husband	[ˈhʌzbənd]	муж	Семья и окружение 	
218	lover	[ˈlʌvə(r)]	любовник(-ца)	Семья и окружение 	
219	marriage	[ˈmærɪdʒ]	брак	Семья и окружение 	
220	mother	[ˈmʌðə(r)]	мать	Семья и окружение 	
221	mother-in-law	[ˈmʌðər ɪn lɔː]	теща, свекровь	Семья и окружение 	
222	nephew	[ˈnefjuː]	племянник	Семья и окружение 	
223	niece	[niːs]	племянница	Семья и окружение 	
224	parents	[ˈpeərənts]	родители	Семья и окружение 	
225	relative	[ˈrelətɪv]	родственник	Семья и окружение 	
226	sister	[ˈsɪstə(r)]	сестра	Семья и окружение 	
227	son	[sʌn]	сын	Семья и окружение 	
228	stepbrother	[ˈstepbrʌðə(r)]	сводный брат	Семья и окружение 	
229	stepfather	[ˈstepfɑːðə(r)]	отчим	Семья и окружение 	
230	stepmother	[ˈstepmʌðə(r)]	мачеха	Семья и окружение 	
231	stepsister	[ˈstepsɪstə(r)]	сводная сестра	Семья и окружение 	
232	twins	[twɪnz]	близнецы	Семья и окружение 	
233	uncle	[ˈʌŋkl]	дядя	Семья и окружение 	
234	wedding	[ˈwedɪŋ]	свадьба	Семья и окружение 	
235	widow	[ˈwɪdəʊ]	вдова	Семья и окружение 	
236	widower	[ˈwɪdəʊə(r)]	вдовец	Семья и окружение 	
237	wife	[waɪf]	жена	Семья и окружение 	
238	to care	[keə(r)]	заботиться	Семья и окружение 	глаголы
239	to love	[lʌv]	любить	Семья и окружение 	глаголы
240	to miss	[mɪs]	скучать	Семья и окружение 	глаголы
241	to support	[səˈpɔːt]	поддерживать		
242	belt	[belt]	ремень	Одежда и обувь	
243	blouse	[ˈblaʊz]	блузка	Одежда и обувь	
244	boots	[buːts]	ботинки	Одежда и обувь	
245	bracelet	[ˈbreɪslət]	браслет	Одежда и обувь	
246	cap	[kæp]	кепка	Одежда и обувь	
247	chain	[tʃeɪn]	цепочка	Одежда и обувь	
248	cloak	[kləʊk]	плащ	Одежда и обувь	
249	clothes	[kləʊðz]	одежда	Одежда и обувь	
250	coat	[ˈkəʊt]	пальто	Одежда и обувь	
251	dress	[dres]	платье	Одежда и обувь	
252	earrings	[ˈɪərɪŋz]	серьги	Одежда и обувь	
253	formal clothes	[ˈfɔːml kləʊðz]	официальная одежда	Одежда и обувь	
254	hat	[hæt]	шляпа	Одежда и обувь	
255	high boots	[ˌhaɪ ˈbuːts]	сапоги	Одежда и обувь	
256	high heels	[ˌhaɪ ˈhiːlz]	высокие каблуки	Одежда и обувь	
257	hoodie	[ˈhʊdi]	худи, толстовка	Одежда и обувь	
258	jacket	[ˈdʒækɪt]	пиджак	Одежда и обувь	
259	jeans	[dʒiːnz]	джинсы	Одежда и обувь	
260	necklace	[ˈnekləs]	ожерелье	Одежда и обувь	
261	pocket	[ˈpɒkɪt]	карман	Одежда и обувь	
262	pyjamas	[pəˈdʒɑːməz]	пижама	Одежда и обувь	
263	raincoat	[ˈreɪnkəʊt]	плащ-дождевик	Одежда и обувь	
264	ring	[rɪŋ]	кольцо	Одежда и обувь	
265	shirt	[ʃɜːt]	рубашка	Одежда и обувь	
266	shoes	[ʃuːz]	туфли	Одежда и обувь	
267	shorts	[ʃɔːts]	шорты	Одежда и обувь	
268	skirt	[skɜːt]	юбка	Одежда и обувь	
269	slippers	[ˈslɪpəz]	тапочки	Одежда и обувь	
270	socks	[sɒks]	носки	Одежда и обувь	
271	sportswear	[ˈspɔːtsweə(r)]	спортивный костюм	Одежда и обувь	
272	suit	[suːt]	костюм	Одежда и обувь	
273	sweater	[ˈswetə(r)]	свитер	Одежда и обувь	
274	swimwear	[ˈswɪmweə(r)]	купальный костюм	Одежда и обувь	
275	trainers	[ˈtreɪnəz]	кроссовки	Одежда и обувь	
276	T-shirt	[ˈtiː ʃɜːt]	футболка	Одежда и обувь	
277	umbrella	[ʌmˈbrelə]	зонт	Одежда и обувь	
278	underwear	[ˈʌndəweə(r)]	нижнее белье	Одежда и обувь	
279	uniform	[ˈjuːnɪfɔːm]	униформа	Одежда и обувь	
280	zip	[zɪp]	застежка-молния	Одежда и обувь	
281	to dress up	[ˈdres ˌʌp]	наряжаться	Одежда и обувь	глаголы
282	to try on	[ˈtraɪ ɒn]	примерить	Одежда и обувь	глаголы
283	to wear	[weə(r)]	носить	Одежда и обувь	глаголы
284	to zip up	[ˈzɪp ˌʌp]	застегнуть	Одежда и обувь	глаголы
285	apple	[ˈæpl]	яблоко	Еда и напитки	
286	bacon	[ˈbeɪkən]	бекон	Еда и напитки	
287	banana	[bəˈnɑːnə]	банан	Еда и напитки	
288	beef	[biːf]	говядина	Еда и напитки	
289	berries	[ˈberɪz]	ягоды	Еда и напитки	
290	biscuits	[ˈbɪskɪts]	печенье	Еда и напитки	
291	breakfast	[ˈbrekfəst]	завтрак	Еда и напитки	
292	butter	[ˈbʌtə(r)]	масло	Еда и напитки	
293	carrot	[ˈkærət]	морковь	Еда и напитки	
294	cereal	[ˈsɪəriəl]	хлопья	Еда и напитки	
295	chicken	[ˈtʃɪkɪn]	курица	Еда и напитки	
296	coffee	[ˈkɒfi]	кофе	Еда и напитки	
297	corn	[kɔːn]	кукуруза	Еда и напитки	
298	cucumber	[ˈkjuːkʌmbə(r)]	огурец	Еда и напитки	
299	dinner	[ˈdɪnə(r)]	ужин	Еда и напитки	
300	drinks	[drɪŋks]	напитки	Еда и напитки	
301	duck	[dʌk]	утка	Еда и напитки	
302	aubergine	[ˈəʊbəʒiːn]	баклажан	Еда и напитки	
303	fish	[fɪʃ]	рыба	Еда и напитки	
304	fruits	[fruːts]	фрукты	Еда и напитки	
305	garlic	[ˈɡɑːlɪk]	чеснок	Еда и напитки	
306	grapes	[ɡreɪps]	виноград	Еда и напитки	
307	ham	[hæm]	ветчина	Еда и напитки	
308	jam	[dʒæm]	варенье	Еда и напитки	
309	juice	[dʒuːs]	сок	Еда и напитки	
310	lemon	[ˈlemən]	лимон	Еда и напитки	
311	lettuce	[ˈletɪs]	салат-латук	Еда и напитки	
312	lunch	[lʌntʃ]	обед	Еда и напитки	
313	milk	[mɪlk]	молоко	Еда и напитки	
314	mineral water	[ˈmɪnərəl wɔːtə(r)]	минеральная вода	Еда и напитки	
315	mushroom	[ˈmʌʃruːm]	гриб	Еда и напитки	
316	nuts	[nʌts]	орехи	Еда и напитки	
317	onion	[ˈʌnjən]	лук	Еда и напитки	
318	pancake	[ˈpænkeɪk]	блинчик	Еда и напитки	
319	peach	[piːtʃ]	персик	Еда и напитки	
320	pepper	[ˈpepə(r)]	перец	Еда и напитки	
321	pineapple	[ˈpaɪnæpl]	ананас	Еда и напитки	
322	plum	[plʌm]	слива	Еда и напитки	
323	pork	[pɔːk]	свинина	Еда и напитки	
324	potato	[pəˈteɪtəʊ]	картофель	Еда и напитки	
325	salmon	[ˈsæmən]	лосось	Еда и напитки	
326	sandwich	[ˈsænwɪdʒ]	сэндвич	Еда и напитки	
327	sausage	[ˈsɒsɪdʒ]	колбаса	Еда и напитки	
328	shrimp	[ʃrɪmp]	креветка	Еда и напитки	
329	snack	[snæk]	перекус	Еда и напитки	
330	soda	[ˈsəʊdə]	газировка	Еда и напитки	
331	strawberry	[ˈstrɔːbəri]	клубника	Еда и напитки	
332	taste	[teɪst]	вкус	Еда и напитки	
333	tea	[tiː]	чай	Еда и напитки	
334	toast	[təʊst]	тост	Еда и напитки	
335	tomato	[təˈmɑːtəʊ]	помидор	Еда и напитки	
336	turkey	[ˈtɜːki]	индейка	Еда и напитки	
337	vegetables	[ˈvedʒtəblz]	овощи	Еда и напитки	
338	water	[ˈwɔːtə(r)]	вода	Еда и напитки	
339	watermelon	[ˈwɔːtəmelən]	арбуз	Еда и напитки	
340	yoghurt	[ˈjɒɡət]	йогурт	Еда и напитки	
341	to bake	[beɪk]	печь	Еда и напитки	глаголы
342	to boil	[bɔɪl]	кипеть, варить	Еда и напитки	глаголы
343	to cook	[kʊk]	готовить	Еда и напитки	глаголы
344	to cool	[kuːl]	охлаждать	Еда и напитки	глаголы
345	to cut	[kʌt]	резать	Еда и напитки	глаголы
346	to drink	[drɪŋk]	пить	Еда и напитки	глаголы
347	to eat	[iːt]	есть	Еда и напитки	глаголы
348	to fry	[fraɪ]	жарить	Еда и напитки	глаголы
349	to heat	[hiːt]	подогревать	Еда и напитки	глаголы
350	to stew	[stjuː]	тушить	Еда и напитки	глаголы
351	to taste	[teɪst]	пробовать	Еда и напитки	глаголы
352	actor	[ˈæktə(r)]	актер	работа и профессии	
353	artist	[ˈɑːtɪst]	художник	работа и профессии	
354	break	[breɪk]	перерыв	работа и профессии	
355	career	[kəˈrɪə(r)]	карьера	работа и профессии	
356	company	[ˈkʌmpəni]	компания	работа и профессии	
357	cook	[kʊk]	повар	работа и профессии	
358	designer	[dɪˈzaɪnə(r)]	дизайнер	работа и профессии	
359	director	[dɪˈrektə(r)]	директор	работа и профессии	
360	doctor	[ˈdɒktə(r)]	врач	работа и профессии	
361	engineer	[ˌendʒɪˈnɪə(r)]	инженер	работа и профессии	
362	fireman	[ˈfaɪəmən]	пожарный	работа и профессии	
363	housewife	[ˈhaʊswaɪf]	домохозяйка	работа и профессии	
364	interview	[ˈɪntəvjuː]	собеседование	работа и профессии	
365	job	[dʒɒb]	работа	работа и профессии	
366	journalist	[ˈdʒɜːnəlɪst]	журналист	работа и профессии	
367	lawyer	[ˈlɔɪə(r)]	юрист	работа и профессии	
368	meeting	[ˈmiːtɪŋ]	встреча	работа и профессии	
369	money	[ˈmʌni]	деньги	работа и профессии	
370	musician	[mjuˈzɪʃn]	музыкант	работа и профессии	
371	office	[ˈɒfɪs]	офис	работа и профессии	
372	photographer	[fəˈtɒɡrəfə(r)]	фотограф	работа и профессии	
373	policeman	[pəˈliːsmən]	полицейский	работа и профессии	
374	professional	[prəˈfeʃənl]	профессионал	работа и профессии	
375	programmer	[ˈprəʊɡræmə(r)]	программист	работа и профессии	
376	pupil	[ˈpjuːpɪl]	ученик	работа и профессии	
377	salary	[ˈsæləri]	зарплата	работа и профессии	
378	scientist	[ˈsaɪəntɪst]	ученый	работа и профессии	
379	singer	[ˈsɪŋə(r)]	певец	работа и профессии	
380	sportsman	[ˈspɔːtsmən]	спортсмен	работа и профессии	
381	skill	[skɪl]	навык	работа и профессии	
382	student	[ˈstjuːdnt]	студент	работа и профессии	
383	task	[tɑːsk]	задача	работа и профессии	
384	teacher	[ˈtiːtʃə(r)]	учитель	работа и профессии	
385	to earn	[ɜːn]	зарабатывать	работа и профессии	глаголы
386	to learn	[lɜːn]	учить что-либо	работа и профессии	глаголы
387	to manage	[ˈmænɪdʒ]	управлять	работа и профессии	глаголы
388	to order	[ˈɔːdə(r)]	заказывать	работа и профессии	глаголы
389	to organise	[ˈɔːɡənaɪz]	организовывать	работа и профессии	глаголы
390	to study	[ˈstʌdi]	учить(-ся)	работа и профессии	глаголы
