factQuestion	factAnswer	factValueQuestion	factValueAnswer	factTagQuestion	factTagAnswer
60108	125638	10000-kreekly/mp3/Kendra/beetroot.mp3	красная свекла	{1008=kendra}	{1002=eng-rus}
60109	60106	10000-kreekly/mp3/Kimberly/beetroot.mp3	свекла	{1008=kimberly}	{1002=eng-rus}
60109	125638	10000-kreekly/mp3/Kimberly/beetroot.mp3	красная свекла	{1008=kimberly}	{1002=eng-rus}
60110	60106	10000-kreekly/mp3/Justin/beetroot.mp3	свекла	{1008=justin}	{1002=eng-rus}
60110	125638	10000-kreekly/mp3/Justin/beetroot.mp3	красная свекла	{1008=justin}	{1002=eng-rus}
60111	60106	10000-kreekly/mp3/Joanna/beetroot.mp3	свекла	{1008=joanna}	{1002=eng-rus}
60111	125638	10000-kreekly/mp3/Joanna/beetroot.mp3	красная свекла	{1008=joanna}	{1002=eng-rus}
60112	60106	10000-kreekly/mp3/Salli/beetroot.mp3	свекла	{1008=salli}	{1002=eng-rus}
60112	125638	10000-kreekly/mp3/Salli/beetroot.mp3	красная свекла	{1008=salli}	{1002=eng-rus}
60113	60106	10000-kreekly/mp3/Matthew/beetroot.mp3	свекла	{1008=matthew}	{1002=eng-rus}
60113	125638	10000-kreekly/mp3/Matthew/beetroot.mp3	красная свекла	{1008=matthew}	{1002=eng-rus}
125639	60106	8000-wordsteps/mp3/beetroot.mp3	свекла	{}	{1002=eng-rus}
125639	125638	8000-wordsteps/mp3/beetroot.mp3	красная свекла	{}	{1002=eng-rus}
77506	2342	10000-kreekly/mp3/Joey/celery.mp3	сельдерей	{1008=joey}	{1002=eng-rus}
77507	2342	10000-kreekly/mp3/Kendra/celery.mp3	сельдерей	{1008=kendra}	{1002=eng-rus}
77508	2342	10000-kreekly/mp3/Kimberly/celery.mp3	сельдерей	{1008=kimberly}	{1002=eng-rus}
77509	2342	10000-kreekly/mp3/Justin/celery.mp3	сельдерей	{1008=justin}	{1002=eng-rus}
77510	2342	10000-kreekly/mp3/Joanna/celery.mp3	сельдерей	{1008=joanna}	{1002=eng-rus}
77511	2342	10000-kreekly/mp3/Salli/celery.mp3	сельдерей	{1008=salli}	{1002=eng-rus}
77512	2342	10000-kreekly/mp3/Matthew/celery.mp3	сельдерей	{1008=matthew}	{1002=eng-rus}
72028	2345	10000-kreekly/mp3/Joey/pumpkin.mp3	тыква	{1008=joey}	{1002=eng-rus}
72029	2345	10000-kreekly/mp3/Kendra/pumpkin.mp3	тыква	{1008=kendra}	{1002=eng-rus}
72030	2345	10000-kreekly/mp3/Kimberly/pumpkin.mp3	тыква	{1008=kimberly}	{1002=eng-rus}
72031	2345	10000-kreekly/mp3/Justin/pumpkin.mp3	тыква	{1008=justin}	{1002=eng-rus}
72032	2345	10000-kreekly/mp3/Joanna/pumpkin.mp3	тыква	{1008=joanna}	{1002=eng-rus}
72033	2345	10000-kreekly/mp3/Salli/pumpkin.mp3	тыква	{1008=salli}	{1002=eng-rus}
72034	2345	10000-kreekly/mp3/Matthew/pumpkin.mp3	тыква	{1008=matthew}	{1002=eng-rus}
123527	2345	5000-studynow/mp3/pumpkin.mp3	тыква	{}	{1002=eng-rus}
125583	2345	8000-wordsteps/mp3/pumpkin.mp3	тыква	{}	{1002=eng-rus}
32333	2348	10000-kreekly/mp3/Joey/dill.mp3	укроп	{1008=joey}	{1002=eng-rus}
32334	2348	10000-kreekly/mp3/Kendra/dill.mp3	укроп	{1008=kendra}	{1002=eng-rus}
32335	2348	10000-kreekly/mp3/Kimberly/dill.mp3	укроп	{1008=kimberly}	{1002=eng-rus}
32336	2348	10000-kreekly/mp3/Justin/dill.mp3	укроп	{1008=justin}	{1002=eng-rus}
32337	2348	10000-kreekly/mp3/Joanna/dill.mp3	укроп	{1008=joanna}	{1002=eng-rus}
32338	2348	10000-kreekly/mp3/Salli/dill.mp3	укроп	{1008=salli}	{1002=eng-rus}
32339	2348	10000-kreekly/mp3/Matthew/dill.mp3	укроп	{1008=matthew}	{1002=eng-rus}
108007	2354	10000-kreekly/mp3/Joey/garlic.mp3	чеснок	{1008=joey}	{1002=eng-rus}
108008	2354	10000-kreekly/mp3/Kendra/garlic.mp3	чеснок	{1008=kendra}	{1002=eng-rus}
108009	2354	10000-kreekly/mp3/Kimberly/garlic.mp3	чеснок	{1008=kimberly}	{1002=eng-rus}
108010	2354	10000-kreekly/mp3/Justin/garlic.mp3	чеснок	{1008=justin}	{1002=eng-rus}
108011	2354	10000-kreekly/mp3/Joanna/garlic.mp3	чеснок	{1008=joanna}	{1002=eng-rus}
108012	2354	10000-kreekly/mp3/Salli/garlic.mp3	чеснок	{1008=salli}	{1002=eng-rus}
108013	2354	10000-kreekly/mp3/Matthew/garlic.mp3	чеснок	{1008=matthew}	{1002=eng-rus}
120849	2354	5000-studynow/mp3/garlic.mp3	чеснок	{}	{1002=eng-rus}
125493	2354	8000-wordsteps/mp3/garlic.mp3	чеснок	{}	{1002=eng-rus}
