itemValue	factValueQuestion	factValueAnswer	factDataTypeQuestion	factDataTypeAnswer
black	черный	black	1002	1001
blue	синий	blue	1002	1001
cyan	сине-зелёный	cyan	1002	1001
gray	серый	gray	1002	1001
green	зеленый	green	1002	1001
magenta	фуксин	magenta	1002	1001
orange	оранжевый	orange	1002	1001
pink	розовый	pink	1002	1001
red	красный	red	1002	1001
violet	фиолетовый	violet	1002	1001
white	белый	white	1002	1001
yellow	желтый	yellow	1002	1001
